,Nama_Produk,Akun,Ulasan_clean,label
153,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,r***n,barang cepat recommended seller masker kf mmasker nya ketat aman sakit telinga pakai jam thankyou bonus seller,1
154,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,L***a,niattt banget vacum beli suka banget,1
155,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,r***n,cepat toko percaya beli masker mmakasih bonus pouch masker,1
156,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,Dhita,beli kali packing mantab masker asli tani terbang jam sukses sehat,1
157,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,S***l,ok,1
158,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,A***i,beda pesan nampaknya import china bonus beli auto star thank youu gann,1
159,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,M***l,pesan cepat proses sayang kurir banget packing rapi aman free pouch masker terima kasih,1
160,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,Bambang,very fast response barang ok banget good job,1
161,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Arif,mantab bosssku terimakasih,1
162,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Reza,sesuai pict barang bagus,1
163,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Syahrul,masker terima terima kasih,1
164,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Bayu,belanja toko cepat kirim packing rapi kualitas barang sesuai deskripsi,1
165,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Alam,murah murah cucu suka pakai nya,1
166,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,NURHASANAH,fast respon kirim cepat sayang box khusus hijab penyok penyok sobek kasih note terang box lipat sajakrn jual pakai bagus box nya,0
167,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Y***a,bareng sesuai,1
168,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Andi,cepat dkrm dterima kondisi bagus packing bagus rapi cepat everything is good puassssss deh puas,1
169,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Chandra,produk bagus sesuai pesan thanks,1
170,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Jhon,pesan box hijab box model hijab,0
171,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Luke,masak debu masuk masker hari,0
172,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Densi,tipis banding,1
173,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,H***h,tipis banget masker beda onemed warna putih tipis,0
174,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Shandyka,quantitas sesuai pesan kemas box langsung masker masker bungkus plastik enak pakai masker terimakasih layan cepat,1
175,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,D,jossss wes,1
176,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Astri,bagus barang segel utuh bubble wrap kasih biar aman isi nytrima kasih,1
177,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Suci,kali beli masker puas kirim barang recomended,1
178,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Rani,tidak ada komentar,1
179,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Cipta,seller bintang,1
180,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Dafit,barang terima kasih,1
181,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Andy,olshop percaya barang sesuai pesan,1
182,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Ineu,bagussssss,1
183,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,N***i,okeeee thankyou seller,1
184,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Javirus,sesuai pcs pengirimn cepat terima kasih seller,1
185,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Wahyu,siiiip,1
186,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Muji,proses puas barang kirim,1
187,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,s***y,bonus,1
188,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,T***r,cepat mantap,1
189,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,widhi,cepat kirim,1
190,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Senny,tidak ada komentar,1
191,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Heri,alhamdulillah sesuai pesan barang bagus,1
192,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Toni,barang sesuai peaanan,1
193,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,M***r,cerita beli pcs dikotakin kes bunafit ply sayang kwalitas premium,0
194,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,R***n,brng nya dngn sesuai pesan bahan nya bagus sek napas nya makasihhhh,1
195,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,AFRODI,masker lumayan bagus besi tempel maksimal,1
196,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Melina,beli kedau barang ok,1
197,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Alex,cepat komplit top,1
198,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Aris,mantulll,1
199,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Sekardewi,pesan plastik masker plastik masker masker,0
200,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Endang,kirim cepat barang sesuai foto kurir ramah,1
201,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Usep,okeeehhh,1
202,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Stephanus,dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga,0
203,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Rahmat,barang sesuai minta bagus komunikasi jual beli pro aktif,0
204,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Alden,bagus masker,1
205,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan,1
206,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Febby,panas pakai,1
207,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,n***l,proses barang jemput kurir banget anjas pokok,0
208,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Heni,pengirimn cepat produk bagus konsumen suka makasih,1
209,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Yati,bagus kirim cepat,1
210,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan kirim cepat,1
211,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),l***h,layan bagusseller ramah cepat reply chatdan kirim cepat buka dusnyarecommemded,1
212,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),M***M,packingnya rapi bagus barang sesuai,1
213,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Agung,kirim cepat packing kardus,1
214,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),D***q,barang terima terima kasih,1
215,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Haernudin,mantap thanks,1
216,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),D***n,cepat akurat,1
217,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),R***l,original recommended seller,1
218,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Andriana,pengirimannyamantul gan,1
219,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Andreas,packing rapi cepat,1
220,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),L***y,barang sesuai tawar,1
221,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,J***r,good product and fast response,1
222,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,yuri,tq,1
223,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Kezia,puasssss order,1
224,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,M***i,bagusssss,1
225,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,S***i,masker tipe kf,1
226,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Andin,barang aman coba moga nyaman pakai,1
227,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,endang,barang sesuai deskripsi harga jangkau fast respon,1
228,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Fikri,better ya,1
229,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Wiggo,packing oke pakai dus tambah,1
230,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,S***n,kualitas lumayan,1
231,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Ninna,beli menurit masker lembut nyaman masker beli karet kuat gampang putus ikin sek cocok banget banget anak sayang harga lumayan moga diskon ya,1
232,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Fabiola,beli rising,1
233,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,S***a,bagus kualitas pakcagin aman lembut anak,1
234,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Benny,terima kasih gan barang terima bahan lembut kirim cepat,1
235,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,H***i,faste respond,1
236,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,m***i,bahan halus banget halus merek sih,1
237,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Bony,packing rapi,1
238,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Novi,bagus cepat,1
239,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,resty,packing rapi kualitas oke,1
240,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Chardova,produk original sesuai deskripsi kirim cepat harga produk respon jual,1
241,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Handana,kemas rapi,1
242,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),F***i,asa tipis indmret indmret ply yasoalnya kalo kesana beli nexcare,1
243,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),n***a,beli box bonus kf kirimminta produk foto proses complain bonus foto produk,0
244,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),W***m,produk bagus original kirim cepat,1
245,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Elike,packing amburadul dus masker penyok penyok nya dus nyasampai buka isolasi,0
246,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),J***y,sih packingnya bagus kali pesan dus penyok untung dalem plastik,1
247,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),A***t,thanks barang terima,1
248,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Z***n,mantapssss,1
249,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),I***n,top,1
250,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Y***i,packing rapipesanan sesuai,1
251,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,I***a,barang bagus recommended banget,1
252,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,a***s,produk kualitas manfaat mari jaga virus covid tks,1
253,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Y***z,size bahan ok,1
254,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,N***a,bagus bahan sukaaaaa,1
255,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,a***s,produk manfaat kualitas anakanak mari jaga pandemi covid,1
256,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,n***a,banget ukurannyaselalu cocok masker sritexgood quality,1
257,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Medyarti,kirim supeeeer cepat order subuh malam kemas rapi banget pakai bubble warp kotak masker tebal sesuai gambar puaas banget layan,1
258,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Tutiek,bagus moga tali awet,1
259,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Hery,ok,1
260,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Aan,respon cepat malam order siang mantap,1
261,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Revan,thx sesuai ekspetasi beli,1
262,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,dunia,bagus layan cepat,1
263,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Asib,barang nya sesuai pesan terima kasih toped,1
264,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,V***a,kirim packing amanseller responsif deh beli kaliterima kasih,1
265,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Ariel,responsif barang cepat packing rapi muas terima kasih gan,1
266,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,t***a,produk selamat barang bagus packingan lumayan aman mohon tingkat packingan terima kasih,1
267,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Ariyanto,merk dus masker merk kualitas ya masker merk pakai buka langsung putus tali,0
268,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,SOFYAN,keren,1
269,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Lucky,order pagi sore pakai gratis ongkir sameday barang bagus sesuai harga,1
270,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,I***n,bagus tipis beli selisih ribu doang,1
271,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,T***o,tali nya sakit kuping pakai lama,0
272,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Anisah,masker tali sakit dikupingmantap,1
273,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Rizal,terima kasih,1
274,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Fitria,bagus dalem plastik moga aman,1
275,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,R***a,service bagus delivery,1
276,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Taufiq,barang terima,1
277,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,T***h,murah kualitas dipakenya enak,1
278,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Beta,paket terima oke respon seller cepat proses pesan cepat kualitas oke sesuai gambar pesan terima kasih moga sukses,1
279,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Syarizal,kirim cepatmantappp,1
280,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Cecep,kualitas bagus recommended,1
281,Madame Gie Protect You KN95 Mask - Masker Kesehatan,A***i,kaget kemas sesuai bayang beli hrga kejar diskon kalo hrga normal rapi ya ribu banding ribu btw terima kasih masker kakak,0
282,Madame Gie Protect You KN95 Mask - Masker Kesehatan,S***a,sesuai deskripsi,1
283,Madame Gie Protect You KN95 Mask - Masker Kesehatan,C***a,terima,1
284,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Afrizal,kayak masker jenis merkembossed ati teman tipu merk nya,0
285,Madame Gie Protect You KN95 Mask - Masker Kesehatan,M***i,thanks gan barang,1
286,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Ramadhan,barang bagus sampai cepat bungkus aman,1
287,Madame Gie Protect You KN95 Mask - Masker Kesehatan,ANTON,ok,1
288,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Joko,tidak ada komentar,0
289,Madame Gie Protect You KN95 Mask - Masker Kesehatan,ANTON,mantab,1
290,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Maria,nya sesuai ekspektasi dipacking masker pesan toko packing aman rapi,1
291,Buy 1 Get 1 - Masker Primero - Sachet,A***g,kualitas barang kirim cepat nya,1
292,Buy 1 Get 1 - Masker Primero - Sachet,Ayu,good produk kemas higienis pcs masker plastik kirim cepat kualitas ok,1
293,Buy 1 Get 1 - Masker Primero - Sachet,a***a,deskripsi produk sesuai terima iram slow respon kotak penyok bubble wrap kotak masker tipis,0
294,Buy 1 Get 1 - Masker Primero - Sachet,M***y,top keren,1
295,Buy 1 Get 1 - Masker Primero - Sachet,M***l,parahini masker hargany overpersis harga ribu dus official store tokopedia selektif barang mutu over price masker sertifikasi daily maskdijual harga surgical mask,0
296,Buy 1 Get 1 - Masker Primero - Sachet,a***a,barang kirim sesuai deskripsi tera ijin kemenkes tanggal exp date kotak kirim pesan kotak penyok packing masuk dus untung lindung bubble wrap,0
297,Buy 1 Get 1 - Masker Primero - Sachet,Teguh,kotak penyok sana mngkn expediai,1
298,Buy 1 Get 1 - Masker Primero - Sachet,F***a,barang sesuai kualitas kardus penyok next time order kalo promo tarik banyak promonya,1
299,Buy 1 Get 1 - Masker Primero - Sachet,N***a,harga promo murah kirim promo,1
300,Buy 1 Get 1 - Masker Primero - Sachet,G***g,proses kirim sabar ya temanteman beli paket cuman bubble wrap penyok enggak apa isi packagingnya pcs sealed aman kualitas masker coba pakai merk beli minimarket bagus kualitas,1
